,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
0,Sports Card Investor,"Prizm Basketball FOTL: Results, Reactions & $3K PROFIT IN 24 HOURS!",0,34,"Monday was a big day in the hobby! Panini ran a ""modified"" dutch auction to sell 2019 Prizm Basketball 1st Off The Line (FOTL) boxes. It resulted in some really mad customers, but also an opportunity for investors to make a ton of profit. In this episode, I tell you how I made a $3k profit in 24 hours from flipping these boxes, and I give you insider results and reactions to everything that happened. .",https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
1,Sports Card Investor,Modern Sports Card Investing 101,0,53,"This is the perfect episode for new people in the hobby or collectors who are investing in modern sports cards for the first time. I cover many important things you need to know, such as the best brands of cards to invest in, the best way to buy investment cards, and the importance of graded cards. ** .",https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
2,Sports Card Investor,20 Things New Sports Card Investors Must Know,0,30,There are so many new investors and collectors getting into the hobby right now. It’s critical they understand the pitfalls that will await them. That’s what this episode is about. .,https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
3,The Fight Chase Muay Thai & MMA Podcast,Self defense discussions!,1,84,"In this episode, Kelly & Kurt talk about what they would do in real-life self-defense situations. No tough guy BS here but as 2 people that have trained for many years in multiple martial arts. What would they do and what would you do!? Listen and share it with your friends. Don't forget to support the podcast on the home page if you can so we can keep bringing you high quality and inspirational guests! Fight Chase Muay Thai & MMA Podcast Fight Chase on IG Fight Chase Website Fight Chase YouTube Fight Chase GEAR Carson Kickboxing Club   Carson Kickboxing Club on IG    ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/fightchase/episodes/Frenchie-e172lt1
4,The Fight Chase Muay Thai & MMA Podcast,DAVE LEDUC ( Lethwei World Champion ) part 1,1,79,"In this 2 part episode, Kelly & Kurt get to talk with none other than the King of Lethwei Dave Leduc. Dave is the face of modern-day Lethwei, the art of 9 limbs. We get to talk about the culture and martial art of Myanmar. Dave tells us of some very exciting things coming up this year for him and the sport of Lethwei! Another episode you will not want to miss. Fight Chase Muay Thai & MMA Podcast Fight Chase on IG Fight Chase Website Fight Chase YouTube Fight Chase GEAR Carson Kickboxing Club   Carson Kickboxing Club on IG  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/fightchase/episodes/Frenchie-e172lt1
5,The Fight Chase Muay Thai & MMA Podcast,Coming back from Thailand!!,1,51,In this episode Kelly and Kurt talk about some of the readjustments they go through after spending a long period of time in Thailand.,https://anchor.fm/fightchase/episodes/Frenchie-e172lt1
6,Straight-Up Sports ,Missouri 8-Man Football Recap,2,12,Devin gives his thoughts on Week 2 of the season.  .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
7,Straight-Up Sports ,Missouri 8-Man Recap,2,19,Enjoy and share! .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
8,Straight-Up Sports ,Week 4 8-Man Preview ,2,26,"Week 4 is here, check it out.  .",https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
9,Nintendo Cartridge Society,2020 Predictions,3,59,Patrick and Mark summon a coven of Psychic type Pokemon to help them predict Nintendo's 2020.,https://anchor.fm/nintendo-cartridge-society/episodes/Kirby-Month-Kirby-and-the-Forgotten-Land-with-Matt-Acevedo-e1gh5tn
10,Nintendo Cartridge Society,"Determining ""The Year of..."" 2009-2019",3,47,,https://anchor.fm/nintendo-cartridge-society/episodes/Kirby-Month-Kirby-and-the-Forgotten-Land-with-Matt-Acevedo-e1gh5tn
